Sno,Title,Keywords,Authors,ReleaseDate,SubjectHeading,Abstract,Language
11,"Does practice really make perfect? A longitudinal analysis of the relationship between therapist experience and therapy outcome: A replication of Goldberg, Rousmaniere, et al. (2016).",expertise; therapist experience; therapist effects; therapy outcome; psychotherapy training,"Germer Sylvan, Weyrich Vanessa, Bräscher Anne-Kathrin, Mütze Kaline, Witthöft Michael",2022,Treatment,"Experience is often regarded as a prerequisite of high performance. In the field of psychotherapy, research has yielded inconsistent results regarding the association between experience and therapy outcome. However, this research was mostly conducted cross-sectionally. A longitudinal study from the U.S. recently indicated that psychotherapists’ experience was not associated with therapy outcomes. The present study aimed at replicating Goldberg, Rousmaniere, et al. (2016) study in the German healthcare system. Using routine evaluation data of a large German university psychotherapy outpatient clinic, the effect of N = 241 therapists’ experience on the outcomes of their patients (N = 3,432) was assessed longitudinally using linear and logistic multilevel modeling. Experience was operationalized using the number of days since the first patient of a therapist as well as using the number of patients treated beforehand. Outcome criteria were defined as change in general psychopathology as well as response, remission, and early termination. Several covariates (number of sessions per case, licensure, and main diagnosis) were also examined. Across all operationalizations of experience (time since first patient and number of cases treated) and therapy outcome (change in psychopathology, response, remission, and early termination), results largely suggest no association between therapists’ experience and therapy outcome. Preliminary evidence suggests that therapists need fewer sessions to achieve the same outcomes when they gain more experience. Therapeutic experience seems to be unrelated to patients’ change in psychopathology. This lack of findings is of importance for improving postgraduate training and the quality of psychotherapy in general.",english
12,Regression-based cognitive change norms applied in biochemically defined predementia Alzheimer’s disease.,Alzheimer’ s disease; neuropsychological change norms; practice effects; cerebrospinal fluid biomarkers,"Ingvild Vøllo Eliassen, Bjørn-Eivind Kirsebom, Tormod Fladby, Knut Waterloo, Sigrid Botne Sando, Mathilde Suhr Hemminghyth, Dag Aarsland, Santiago Timón-Reina, Anders Wallin, Fredrik Öhman, Marie Eckerström, Erik Hessen",2022,ND,"We aim to develop 2-year cognitive change norms for adults ages 41–84 for six cognitive tests, and to evaluate these norms in groups with AD biomarkers. Background: Practice effects are common in repeated neuropsychological testing. Not accounting for practice effects may obscure cognitive decline in early Alzheimer’s disease (AD). Method: We developed standardized regression-based change norms from normative samples consisting of healthy controls from the Dementia Disease Initiation study (n = 125), the Trønderbrain study (n = 57), and the Gothenburg mild cognitive impairment (MCI) study (n = 65). Norms were applied in a sample with cognitive symptoms (subjective cognitive decline or MCI) and AD cerebrospinal fluid (CSF) biomarkers (n = 246), classified according to the A/T/N system. Results: The change norms adjusted for pertinent demographics and practice effects. The group with cognitive complaints displayed a trend toward cognitive decline compared to the normative group, with the A +T/N + subgroup showing the most marked decline. This was observed in tests of episodic memory and cognitive flexibility/divided attention. Conclusions: We present 2-year cognitive change norms for adults between 41 and 84 years, adjusted for practice and demographics. A web-based change norm calculator is provided. ",english
13,Adapting Dialectical Behavior Therapy for the Treatment of Dissociative Identity Disorder,dialectical behavior therapy; dissociative identity disorder; dissociation; dissociative behaviors; self-harm,"BRAD FOOTE, KIM VAN ORDEN",2022,Schizophrenia,"Dialectical Behavior Therapy (DBT), created by Marsha Linehan, has been shown to be an effective therapy for the treatment of borderline personality disorder (BPD) and for suicidal and self-harming behavior. Dissociative identity disorder (DID) is a complex post-traumatic disorder which is highly comorbid with BPD, shares a number of clinical features with BPD, and which like BPD features a high degree of suicidality. The DID treatment literature emphasizes the importance of a staged approach, beginning with the creation of a safe therapeutic frame prior to addressing traumatic material; DBT is also a staged treatment, in which behavioral and safety issues are addressed in Stage 1, and trauma work reserved for Stage 2. The authors describe adapting DBT, and especially its techniques for Stage 1 safety work, for work with DID patients. Basic theoretical principles are described and illustrated with a case example.",english
14,Psychodynamic Intervention in Crisis,brief therapy; crisis; presence; therapeutic relationship; benevolent transference; suggestion; insight,Milton Viederman,2022,Treatment,"This paper will present a framework for a brief intensive psychotherapeutic intervention designed to address symptoms of distress that arise as the expression of unconscious conflict provoked by situations of crisis. This therapeutic approach has elements familiar to experienced therapists, but is specific in its conceptualization. What distinguishes this therapy from others is the induction and utilization of a special positive quality in the therapeutic relationship as a therapeutic aim and ""curative factor"" in its own right, beyond its role as the substrate for the trusting relationship that underlies all successful psychotherapeutic treatments. (Viederman, 2011) This involves a specific strategy and technique designed to develop a ""benevolent transference"" to effect change, to achieve symptom relief, and sometimes, as a precursor to meaningful insight. In this respect the relationship, considered to be a central feature of the therapy, complements understanding as a vehicle for change. A variety of interventions described to facilitate this process will be illustrated with different types of patients.",english
15,"Psychological disorders, adverse childhood experiences and parental psychiatric disorders in children affected by headache: A systematic review.","Child;
Headache;
Humans;
Parents;
Stress, Psychological;
Adverse Childhood Experiences (major);
Attention Deficit Disorder with Hyperactivity (major);
Mental Disorders (major)","Daniela Polese, Arianna Belli, DarioEsposito, Melania Evangelisti, Anna Luchetti, Giovanni Di Nardo, Pasquale Parisi, Oliviero Bruni",2022,ND,"Pediatric headaches have been linked to adverse life events or psychological factors in children and their families, with a complex and bidirectional association. Moreover, it is well-known that psychological stress can trigger headaches. We searched three databases for studies focusing on headaches and adverse events or psychological factors in children up to 12 years old or in their caregivers. We included 28 studies. Child psychological factors, including internal and external symptoms, were commonly associated with all types of headaches. Sleep disturbances showed a positive association with headaches in 3 out of 5 studies. Family conflict and unhappiness were frequently found in children suffering with headaches, while single-parent families and divorce were not associated. Stressful environments and adverse life events, particularly bullying, were also found to be linked with headaches. Childhood headaches represent an alarm bell for clinicians to investigate and treat psychological or psychiatric disorders in children and their family. Further studies are needed to elucidate the role of early-life adverse events in children and their families.",english
16,The effects of messaging on long COVID expectations: An online experiment.,COVID-19; expectations; communication; long COVID,"Freya Mills, Jaskiran Kaur Bhogal, Amelia Dennis, Cristina Spoiala, Joanna Milward, Sidra Saeed, Leah Ffion Jones, Dale Weston, Holly Carter",2022,ND,"We examined whether varying information about long COVID would affect expectations about the illness. Method: In October 2021, we conducted a 2 (Illness Description: long COVID vs. ongoing COVID-19 recovery) × 2 (Symptom Uncertainty: uncertainty emphasized vs. not emphasized) × 2 (Efficacy of Support: enhanced vs. basic support) between-subjects randomized online experimental study. Participants (N = 1,110) were presented with a scenario describing a positive COVID-19 test result, followed by one of eight scenarios describing a long COVID diagnosis and then completed outcome measures of illness expectations including: symptom severity, symptom duration, quality of life, personal control, treatment control, and illness coherence. Results: We ran a series of 2 × 2 × 2 ANOVAs on the outcome variables. We found a main effect of illness description: individuals reported longer symptom duration and less illness coherence when the illness was described as long COVID (compared to ongoing COVID-19 recovery). There was a main effect of symptom uncertainty: when uncertainty was emphasized, participants reported longer expected symptom duration (p < .001), less treatment control (p = .031), and less illness coherence (p < .001) than when uncertainty was not emphasized. There was a main effect of efficacy of support: participants reported higher personal control (p = .004) and higher treatment control (p = .037) when support was enhanced (compared to basic support). Conclusions: Communications around long COVID should avoid emphasizing symptom uncertainty and aim to provide people with access to additional support and information on how they can facilitate their recovery. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",english
17,Time perception in autistic adults: Interval and event timing judgments do not differ from nonautistics.,autism; duration; time perception; relative timing; scalar expectancy theory,"Poole Daniel, Casassus Martin, Gowen Emma, Poliakoff Ellen, Jones Luke A.",2022,ND,"It has previously been proposed that autistic people have problems with timing which underlie the behavioral and cognitive differences in the condition. However, the nature of this postulated timing issue has not been well specified and the existing experimental literature has generated mixed findings. In the current study, we attempted a systematic investigation of timing processes in autistic adults using scalar expectancy theory as a theoretical framework. Autistic (n = 58) and nonautistic (n = 91) adults matched for age, sex, and full-scale IQ completed a battery of auditory and visual timing tasks measuring basic subsecond duration perception (temporal discrimination thresholds), clock processes (verbal estimation), clock and memory processes (temporal generalization), and event timing (temporal order judgments). Participants also completed suprasecond retrospective duration estimates where the participant was not warned in advanced that they would be required to make a timing judgment, and questionnaires measuring self-reported timing behaviors in daily life. The groups reported differences on questionnaires, but measures of timing performance were comparable overall. In an exploratory analysis, we performed principal components analysis to investigate the relationship between timing judgments and participants’ self-reported social-communicative, sensory, and motor traits. Measures of timing performance were not well correlated with these questionnaire scores. The current study, the largest conducted on time and autism to date, shows no clear evidence for reduced timing performance in autistic adults. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",english
18,"State mental health infrastructure, personality, and politics of shelter-in-place.",COVID-19; geopersonality; telemental health; rural mental health,"Paull Danielle, Hoerger Michael, Midkiff Melanie, Lietzau Stephanie, Gerhart James",2022,DD,"Guided by the conservation of resources (COR) theory, this study investigated how regional variation in mental health needs and resources may have impacted early efforts to curb the spread of COVID-19. Publicly available data were analyzed to evaluate states’ initial responses (i.e., February 2020–March 2020) to the COVID-19 pandemic. Each of the 50 U.S. states, as well as the District of Columbia, were included in the analyses, providing a total sample size of N = 51. U.S. states with greater mental health needs and barriers to treatment tended to: be slower to implement shelter-in-place orders; have residents who showed less increase in time at their residences in response to the crisis; be more rural, economically disadvantaged, and more conventional; and have less access to the internet. Considering this cultural context provides insight for tailoring and implementing interventions in a culturally competent manner. Furthermore, mental health resource sharing across states and regions may be needed to address future mental health care gaps resulting from the pandemic. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",english
19,"Affective, cognitive, and behavioral mental illness stigma in health care: A comparison between general ward nurses and the general population.",nurses; empathy; mental health stigma; intergroup contact,"Birtel Michèle D., Oldfield Gemma",2022,Treatment,"Stigma from health professionals and the general population can be a barrier in health care for people with mental illness. The aim of this study was to compare experiences with and perceptions of people with mental illness between general ward nurses and the general population in the United Kingdom as well as to examine the associated mechanisms. Participants were general ward nurses (n = 101) and the general population (n = 116) in the United Kingdom who completed a survey for this cross-sectional study. Nurses reported poorer contact experiences with people with mental illness (less frequent positive contact, more frequent negative contact, lower contact quality, fewer friendships) than the general population. They also reported greater stigma (more negative attitudes, higher attribution of negative and lower attribution of positive human uniqueness traits to people with mental illness, greater differences between themselves and people with mental illness, lower behavioral intentions). Intergroup anxiety and intergroup empathy mediated the associations between group and contact quality, attitudes as well as behavioral intentions. Understanding differences in stigma between health professionals and the general population will be important to support people with mental illness in seeking treatment and receiving optimal physical and mental health care as well as to support health professionals in their roles. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",english
20,"A systematic review and meta-analysis of growth mindset interventions: For whom, how, and why might such interventions work?",metaregression; meta-analysis; heterogeneity; mindset intervention; systematic review,"Burnette Jeni L., Billingsley Joseph, Banks George C., Knouse Laura E., Hoyt Crystal L., Pollack Jeffrey M., Simon Stefanie",2022,Treatment,"As growth mindset interventions increase in scope and popularity, scientists and policymakers are asking: Are these interventions effective? To answer this question properly, the field needs to understand the meaningful heterogeneity in effects. In the present systematic review and meta-analysis, we focused on two key moderators with adequate data to test: Subsamples expected to benefit most and implementation fidelity. We also specified a process model that can be generative for theory. We included articles published between 2002 (first mindset intervention) through the end of 2020 that reported an effect for a growth mindset intervention, used a randomized design, and featured at least one of the qualifying outcomes. Our search yielded 53 independent samples testing distinct interventions. We reported cumulative effect sizes for multiple outcomes (i.e., mindsets, motivation, behavior, end results), with a focus on three primary end results (i.e., improved academic achievement, mental health, or social functioning). Multilevel metaregression analyses with targeted subsamples and high fidelity for academic achievement yielded, d = 0.14, 95% CI [.06, .22]; for mental health, d = 0.32, 95% CI [.10, .54]. Results highlighted the extensive variation in effects to be expected from future interventions. Namely, 95% prediction intervals for focal effects ranged from −0.08 to 0.35 for academic achievement and from 0.07 to 0.57 for mental health. The literature is too nascent for moderators for social functioning, but average effects are d = 0.36, 95% CI [.03, .68], 95% PI [−.50, 1.22]. We conclude with a discussion of heterogeneity and the limitations of meta-analyses. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",english
21,Barriers to drug treatment in police diversion programs and drug courts: A qualitative analysis.,people who use drugs; drug treatment courts; police diversion programs; drug treatment; medications to treat opioid use disorder,"Dickson-Gomez Julia, Spector Antoinette, Krechel Sarah, Li Jianghong, Montaque Helena Danielle Green, Ohlrich Jessica, Galletly Carol, Weeks Margaret",2022,Treatment,"Drug treatment courts and police diversion programs are designed to divert people away from incarceration and into drug treatment. This article explores barriers in linking people who use drugs (PWUD) into drug treatment facilities in urban, suburban, and rural areas of Connecticut, Kentucky, and Wisconsin. Between December 2018 and March 2020, study teams in the three states conducted in-depth, semistructured interviews with key informants involved in programs to divert PWUD from criminal justice involvement including police, lawyers, judges, and others who work in drug treatment courts, and substance use disorder treatment providers who received referrals from and worked with police diversion programs or drug courts. Police diversion programs and drug treatment courts showed intraprogram variation in the structure of their programs in the three states and in different counties within the states. Structural barriers to successfully linking PWUD to treatment included a lack of resources, for example, a limited number of treatment facilities available, difficulties in funding mandated treatment, particularly in Wisconsin where Medicaid expansion has not occurred, and PWUDs’ need for additional services such as housing. Many police officers, judges, and others within drug treatment court, including drug treatment specialists, hold stigmatizing attitudes toward medications to treat opioid use disorder (MOUD) and are unlikely to recommend or actively refer to MOUD treatment. Drug courts and police diversion programs offer a welcome shift from prior emphases on criminalization of drug use. However, for such programs to be effective, more resources must be dedicated to their success. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",english
22,Qualitative exploration of factors influencing women veterans’ disordered eating symptoms and treatment preferences in VHA primary care.,disordered eating; treatment facilitators; treatment barriers; integrated primary care; women veterans,"King Paul R., Buchholz Laura J., Tauriello Sara, Wray Laura O.",2022,ED,"Disordered eating symptoms (DES) are common among women veterans. While integrated primary care (IPC) may be an important venue to treat DES, little is known on patients’ treatment preferences. The purpose of this study was to gather patient feedback on factors that may influence women veterans’ DES and preferences for IPC services. Method: We conducted semistructured interviews with purposefully sampled women who reported DES using the Eating Disorder Examination Questionnaire (EDE-Q). Twelve veterans (Mage = 54.0, SD = 8.38 years, 83.3% Caucasian, MEDE-Q Total = 3.87, SD = .77) enrolled in Veterans Health Administration primary care participated. Interviews gathered opinions on weight, appearance, and eating behaviors; experiences and preferences in addressing DES; and opinions on ways to improve their health care experience. Responses were analyzed via a directed content analysis that utilized a priori codes pertaining to health care utilization and compensatory health beliefs. Results: Results revealed longstanding DES of various types, including those consistent with restriction, binge eating, and bulimia. However, past experiences with symptom management primarily involved self-management vs. clinical management. Participants also endorsed multiple perceived treatment facilitators and barriers. Among facilitators were strong provider relationships, patient-centered communications, personalized goal setting, and skill-focused whole-person care. Barriers included feeling judged by others (including providers), amotivation, and financial and time limitations. Discussion: While IPC may be an important venue to identify and treat DES, multiple factors are likely to influence patients’ use of these services. Future work should explore the potential for multidisciplinary IPC teams to address DES. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",english
